No.,Time,Source,Destination,Protocol,Length,confirmedServiceRequest1,confirmedServiceRequest2,specificationWithResult1,SpecificationWithResult2,Info1,Info2,Info3,Info4
37694,2542.935547,172.18.5.60,172.16.4.12,MMS,272,,,,,initiate-RequestPDU,,,
37695,2542.940058,172.18.5.60,172.16.4.13,MMS,272,,,,,initiate-RequestPDU,,,
37696,2542.961808,172.18.5.60,172.16.4.12,MMS,96,getNameList,,,,1,confirmed-RequestPDU,,
37697,2542.962997,172.18.5.60,172.16.4.13,MMS,96,getNameList,,,,1,confirmed-RequestPDU,,
37698,2542.984484,172.18.5.60,172.16.4.12,MMS,105,getNameList,,,,2,confirmed-RequestPDU,,
37699,2542.984485,172.18.5.60,172.16.4.13,MMS,105,getNameList,,,,2,confirmed-RequestPDU,,
37700,2542.994342,172.18.5.60,172.16.4.12,MMS,103,getNameList,,,,3,confirmed-RequestPDU,,
37701,2542.994344,172.18.5.60,172.16.4.13,MMS,103,getNameList,,,,3,confirmed-RequestPDU,,
37703,2543.006061,172.18.5.60,172.16.4.13,MMS,105,getNameList,,,,4,confirmed-RequestPDU,,
37704,2543.006062,172.18.5.60,172.16.4.12,MMS,105,getNameList,,,,4,confirmed-RequestPDU,,
37705,2543.015407,172.18.5.60,172.16.4.13,MMS,105,getNameList,,,,5,confirmed-RequestPDU,,
37706,2543.017124,172.18.5.60,172.16.4.12,MMS,105,getNameList,,,,5,confirmed-RequestPDU,,
37707,2543.038247,172.18.5.60,172.16.4.13,MMS,118,getNamedVariableListAttributes,,,,6,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
37711,2543.075904,172.18.5.60,172.16.4.11,MMS,272,,,,,initiate-RequestPDU,,,
37712,2543.079049,172.18.5.60,172.16.4.12,MMS,118,getNamedVariableListAttributes,,,,6,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
37713,2543.08973,172.18.5.60,172.16.4.13,MMS,117,getNamedVariableListAttributes,,,,7,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
37714,2543.089732,172.18.5.60,172.16.4.12,MMS,117,getNamedVariableListAttributes,,,,7,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
37715,2543.099127,172.18.5.60,172.16.4.11,MMS,96,getNameList,,,,1,confirmed-RequestPDU,,
37716,2543.119942,172.18.5.60,172.16.4.11,MMS,105,getNameList,,,,2,confirmed-RequestPDU,,
37717,2543.119943,172.18.5.60,172.16.4.12,MMS,134,read,,,,8,confirmed-RequestPDU,SIED2CTRL,LLN0$DC$NamPlt$configRev
37718,2543.119944,172.18.5.60,172.16.4.13,MMS,134,read,,,,8,confirmed-RequestPDU,SIED3CTRL,LLN0$DC$NamPlt$configRev
37719,2543.131137,172.18.5.60,172.16.4.11,MMS,103,getNameList,,,,3,confirmed-RequestPDU,,
37720,2543.131139,172.18.5.60,172.16.4.12,MMS,132,read,,,,9,confirmed-RequestPDU,SIED2DR,LLN0$DC$NamPlt$configRev
37721,2543.13114,172.18.5.60,172.16.4.13,MMS,132,read,,,,9,confirmed-RequestPDU,SIED3DR,LLN0$DC$NamPlt$configRev
37722,2543.152888,172.18.5.60,172.16.4.11,MMS,105,getNameList,,,,4,confirmed-RequestPDU,,
37723,2543.152889,172.18.5.60,172.16.4.12,MMS,134,read,,,,10,confirmed-RequestPDU,SIED2MEAS,LLN0$DC$NamPlt$configRev
37724,2543.15289,172.18.5.60,172.16.4.13,MMS,134,read,,,,10,confirmed-RequestPDU,SIED3MEAS,LLN0$DC$NamPlt$configRev
37725,2543.163535,172.18.5.60,172.16.4.11,MMS,105,getNameList,,,,5,confirmed-RequestPDU,,
37726,2543.165067,172.18.5.60,172.16.4.12,MMS,134,read,,,,11,confirmed-RequestPDU,SIED2PROT,LLN0$DC$NamPlt$configRev
37727,2543.165068,172.18.5.60,172.16.4.13,MMS,134,read,,,,11,confirmed-RequestPDU,SIED3PROT,LLN0$DC$NamPlt$configRev
37728,2543.175325,172.18.5.60,172.16.4.12,MMS,125,read,,TRUE,,12,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
37729,2543.175327,172.18.5.60,172.16.4.13,MMS,125,read,,TRUE,,12,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
37730,2543.187073,172.18.5.60,172.16.4.11,MMS,118,getNamedVariableListAttributes,,,,6,confirmed-RequestPDU,SIED1PROT,LLN0$Measurement
37731,2543.187075,172.18.5.60,172.16.4.12,MMS,124,read,,TRUE,,13,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
37732,2543.187076,172.18.5.60,172.16.4.13,MMS,124,read,,TRUE,,13,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
37733,2543.195982,172.18.5.60,172.16.4.11,MMS,117,getNamedVariableListAttributes,,,,7,confirmed-RequestPDU,SIED1PROT,LLN0$Protection
37734,2543.229493,172.18.5.60,172.16.4.11,MMS,134,read,,,,8,confirmed-RequestPDU,SIED1CTRL,LLN0$DC$NamPlt$configRev
37736,2543.242013,172.18.5.60,172.16.4.11,MMS,132,read,,,,9,confirmed-RequestPDU,SIED1DR,LLN0$DC$NamPlt$configRev
37739,2543.248664,172.18.5.60,172.16.4.14,MMS,272,,,,,initiate-RequestPDU,,,
37740,2543.272397,172.18.5.60,172.16.4.14,MMS,96,getNameList,,,,1,confirmed-RequestPDU,,
37741,2543.282191,172.18.5.60,172.16.4.11,MMS,125,read,,TRUE,,10,confirmed-RequestPDU,SIED1PROT,LLN0$Measurement
37742,2543.29164,172.18.5.60,172.16.4.14,MMS,105,getNameList,,,,2,confirmed-RequestPDU,,
37743,2543.292813,172.18.5.60,172.16.4.11,MMS,124,read,,TRUE,,11,confirmed-RequestPDU,SIED1PROT,LLN0$Protection
37744,2543.303539,172.18.5.60,172.16.4.14,MMS,103,getNameList,,,,3,confirmed-RequestPDU,,
37745,2543.30354,172.18.5.60,172.16.4.11,MMS,134,read,,,,12,confirmed-RequestPDU,SIED1MEAS,LLN0$DC$NamPlt$configRev
37746,2543.313298,172.18.5.60,172.16.4.14,MMS,105,getNameList,,,,4,confirmed-RequestPDU,,
37747,2543.3133,172.18.5.60,172.16.4.11,MMS,134,read,,,,13,confirmed-RequestPDU,SIED1PROT,LLN0$DC$NamPlt$configRev
37749,2543.323991,172.18.5.60,172.16.4.14,MMS,105,getNameList,,,,5,confirmed-RequestPDU,,
37750,2543.34491,172.18.5.60,172.16.4.14,MMS,118,getNamedVariableListAttributes,,,,6,confirmed-RequestPDU,SIED4PROT,LLN0$Measurement
37751,2543.355018,172.18.5.60,172.16.4.14,MMS,117,getNamedVariableListAttributes,,,,7,confirmed-RequestPDU,SIED4PROT,LLN0$Protection
37752,2543.386783,172.18.5.60,172.16.4.14,MMS,134,read,,,,8,confirmed-RequestPDU,SIED4CTRL,LLN0$DC$NamPlt$configRev
37753,2543.398056,172.18.5.60,172.16.4.14,MMS,132,read,,,,9,confirmed-RequestPDU,SIED4DR,LLN0$DC$NamPlt$configRev
37756,2543.407963,172.18.5.60,172.16.4.14,MMS,134,read,,,,10,confirmed-RequestPDU,SIED4MEAS,LLN0$DC$NamPlt$configRev
37757,2543.419342,172.18.5.60,172.16.4.14,MMS,134,read,,,,11,confirmed-RequestPDU,SIED4PROT,LLN0$DC$NamPlt$configRev
37759,2543.431363,172.18.5.60,172.16.4.14,MMS,125,read,,TRUE,,12,confirmed-RequestPDU,SIED4PROT,LLN0$Measurement
37760,2543.441967,172.18.5.60,172.16.4.14,MMS,124,read,,TRUE,,13,confirmed-RequestPDU,SIED4PROT,LLN0$Protection
37772,2544.192738,172.18.5.60,172.16.4.12,MMS,125,read,,TRUE,,14,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
37773,2544.192739,172.18.5.60,172.16.4.13,MMS,125,read,,TRUE,,14,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
37774,2544.202078,172.18.5.60,172.16.4.12,MMS,124,read,,TRUE,,15,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
37775,2544.202079,172.18.5.60,172.16.4.13,MMS,124,read,,TRUE,,15,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
37777,2544.296667,172.18.5.60,172.16.4.11,MMS,125,read,,TRUE,,14,confirmed-RequestPDU,SIED1PROT,LLN0$Measurement
37778,2544.307473,172.18.5.60,172.16.4.11,MMS,124,read,,TRUE,,15,confirmed-RequestPDU,SIED1PROT,LLN0$Protection
37782,2544.450457,172.18.5.60,172.16.4.14,MMS,125,read,,TRUE,,14,confirmed-RequestPDU,SIED4PROT,LLN0$Measurement
37783,2544.460878,172.18.5.60,172.16.4.14,MMS,124,read,,TRUE,,15,confirmed-RequestPDU,SIED4PROT,LLN0$Protection
37791,2545.213127,172.18.5.60,172.16.4.12,MMS,125,read,,TRUE,,16,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
37792,2545.214447,172.18.5.60,172.16.4.13,MMS,125,read,,TRUE,,16,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
37793,2545.228096,172.18.5.60,172.16.4.12,MMS,124,read,,TRUE,,17,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
37794,2545.228098,172.18.5.60,172.16.4.13,MMS,124,read,,TRUE,,17,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
37796,2545.317353,172.18.5.60,172.16.4.11,MMS,125,read,,TRUE,,16,confirmed-RequestPDU,SIED1PROT,LLN0$Measurement
37797,2545.327824,172.18.5.60,172.16.4.11,MMS,124,read,,TRUE,,17,confirmed-RequestPDU,SIED1PROT,LLN0$Protection
37801,2545.47103,172.18.5.60,172.16.4.14,MMS,125,read,,TRUE,,16,confirmed-RequestPDU,SIED4PROT,LLN0$Measurement
37802,2545.479556,172.18.5.60,172.16.4.14,MMS,124,read,,TRUE,,17,confirmed-RequestPDU,SIED4PROT,LLN0$Protection
37813,2546.232705,172.18.5.60,172.16.4.12,MMS,125,read,,TRUE,,18,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
37814,2546.232707,172.18.5.60,172.16.4.13,MMS,125,read,,TRUE,,18,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
37815,2546.242609,172.18.5.60,172.16.4.12,MMS,124,read,,TRUE,,19,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
37816,2546.244228,172.18.5.60,172.16.4.13,MMS,124,read,,TRUE,,19,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
37817,2546.33509,172.18.5.60,172.16.4.11,MMS,125,read,,TRUE,,18,confirmed-RequestPDU,SIED1PROT,LLN0$Measurement
37818,2546.354828,172.18.5.60,172.16.4.11,MMS,124,read,,TRUE,,19,confirmed-RequestPDU,SIED1PROT,LLN0$Protection
37822,2546.487001,172.18.5.60,172.16.4.14,MMS,125,read,,TRUE,,18,confirmed-RequestPDU,SIED4PROT,LLN0$Measurement
37823,2546.507979,172.18.5.60,172.16.4.14,MMS,124,read,,TRUE,,19,confirmed-RequestPDU,SIED4PROT,LLN0$Protection
37853,2547.251739,172.18.5.60,172.16.4.12,MMS,125,read,,TRUE,,20,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
37854,2547.251741,172.18.5.60,172.16.4.13,MMS,125,read,,TRUE,,20,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
37855,2547.27291,172.18.5.60,172.16.4.12,MMS,124,read,,TRUE,,21,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
37856,2547.274771,172.18.5.60,172.16.4.13,MMS,124,read,,TRUE,,21,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
37858,2547.356695,172.18.5.60,172.16.4.11,MMS,125,read,,TRUE,,20,confirmed-RequestPDU,SIED1PROT,LLN0$Measurement
37859,2547.376748,172.18.5.60,172.16.4.11,MMS,124,read,,TRUE,,21,confirmed-RequestPDU,SIED1PROT,LLN0$Protection
37863,2547.510923,172.18.5.60,172.16.4.14,MMS,125,read,,TRUE,,20,confirmed-RequestPDU,SIED4PROT,LLN0$Measurement
37864,2547.522325,172.18.5.60,172.16.4.14,MMS,124,read,,TRUE,,21,confirmed-RequestPDU,SIED4PROT,LLN0$Protection
37874,2548.147018,172.18.5.60,172.16.4.12,MMS,134,read,,,,22,confirmed-RequestPDU,SIED2CTRL,LLN0$DC$NamPlt$configRev
37875,2548.14702,172.18.5.60,172.16.4.13,MMS,134,read,,,,22,confirmed-RequestPDU,SIED3CTRL,LLN0$DC$NamPlt$configRev
37877,2548.257277,172.18.5.60,172.16.4.11,MMS,134,read,,,,22,confirmed-RequestPDU,SIED1CTRL,LLN0$DC$NamPlt$configRev
37878,2548.267517,172.18.5.60,172.16.4.12,MMS,125,read,,TRUE,,23,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
37879,2548.267518,172.18.5.60,172.16.4.13,MMS,125,read,,TRUE,,23,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
37880,2548.297717,172.18.5.60,172.16.4.12,MMS,124,read,,TRUE,,24,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
37881,2548.298893,172.18.5.60,172.16.4.13,MMS,124,read,,TRUE,,24,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
37882,2548.370715,172.18.5.60,172.16.4.11,MMS,125,read,,TRUE,,23,confirmed-RequestPDU,SIED1PROT,LLN0$Measurement
37883,2548.391996,172.18.5.60,172.16.4.11,MMS,124,read,,TRUE,,24,confirmed-RequestPDU,SIED1PROT,LLN0$Protection
37885,2548.413927,172.18.5.60,172.16.4.14,MMS,134,read,,,,22,confirmed-RequestPDU,SIED4CTRL,LLN0$DC$NamPlt$configRev
37886,2548.425014,172.18.5.60,172.16.4.14,MMS,132,read,,,,23,confirmed-RequestPDU,SIED4DR,LLN0$DC$NamPlt$configRev
37887,2548.43663,172.18.5.60,172.16.4.14,MMS,134,read,,,,24,confirmed-RequestPDU,SIED4MEAS,LLN0$DC$NamPlt$configRev
37888,2548.446535,172.18.5.60,172.16.4.14,MMS,134,read,,,,25,confirmed-RequestPDU,SIED4PROT,LLN0$DC$NamPlt$configRev
37891,2548.532351,172.18.5.60,172.16.4.14,MMS,125,read,,TRUE,,26,confirmed-RequestPDU,SIED4PROT,LLN0$Measurement
37892,2548.552707,172.18.5.60,172.16.4.14,MMS,124,read,,TRUE,,27,confirmed-RequestPDU,SIED4PROT,LLN0$Protection
37899,2549.28864,172.18.5.60,172.16.4.12,MMS,125,read,,TRUE,,25,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
37900,2549.28864,172.18.5.60,172.16.4.13,MMS,125,read,,TRUE,,25,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
37902,2549.319848,172.18.5.60,172.16.4.12,MMS,124,read,,TRUE,,26,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
37903,2549.321539,172.18.5.60,172.16.4.13,MMS,124,read,,TRUE,,26,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
37904,2549.391878,172.18.5.60,172.16.4.11,MMS,125,read,,TRUE,,25,confirmed-RequestPDU,SIED1PROT,LLN0$Measurement
37906,2549.413789,172.18.5.60,172.16.4.11,MMS,124,read,,TRUE,,26,confirmed-RequestPDU,SIED1PROT,LLN0$Protection
37909,2549.549044,172.18.5.60,172.16.4.14,MMS,125,read,,TRUE,,28,confirmed-RequestPDU,SIED4PROT,LLN0$Measurement
37910,2549.580306,172.18.5.60,172.16.4.14,MMS,124,read,,TRUE,,29,confirmed-RequestPDU,SIED4PROT,LLN0$Protection
37923,2550.324263,172.18.5.60,172.16.4.12,MMS,125,read,,TRUE,,27,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
37924,2550.324264,172.18.5.60,172.16.4.13,MMS,125,read,,TRUE,,27,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
37925,2550.358975,172.18.5.60,172.16.4.12,MMS,124,read,,TRUE,,28,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
37926,2550.366375,172.18.5.60,172.16.4.13,MMS,124,read,,TRUE,,28,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
37928,2550.415462,172.18.5.60,172.16.4.11,MMS,125,read,,TRUE,,27,confirmed-RequestPDU,SIED1PROT,LLN0$Measurement
37929,2550.436065,172.18.5.60,172.16.4.11,MMS,124,read,,TRUE,,28,confirmed-RequestPDU,SIED1PROT,LLN0$Protection
37932,2550.581689,172.18.5.60,172.16.4.14,MMS,125,read,,TRUE,,30,confirmed-RequestPDU,SIED4PROT,LLN0$Measurement
37933,2550.592336,172.18.5.60,172.16.4.14,MMS,124,read,,TRUE,,31,confirmed-RequestPDU,SIED4PROT,LLN0$Protection
37941,2551.369865,172.18.5.60,172.16.4.12,MMS,125,read,,TRUE,,29,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
37942,2551.369867,172.18.5.60,172.16.4.13,MMS,125,read,,TRUE,,29,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
37943,2551.378785,172.18.5.60,172.16.4.12,MMS,124,read,,TRUE,,30,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
37944,2551.380159,172.18.5.60,172.16.4.13,MMS,124,read,,TRUE,,30,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
37946,2551.44956,172.18.5.60,172.16.4.11,MMS,125,read,,TRUE,,29,confirmed-RequestPDU,SIED1PROT,LLN0$Measurement
37947,2551.4561,172.18.5.60,172.16.4.11,MMS,124,read,,TRUE,,30,confirmed-RequestPDU,SIED1PROT,LLN0$Protection
37950,2551.595713,172.18.5.60,172.16.4.14,MMS,125,read,,TRUE,,32,confirmed-RequestPDU,SIED4PROT,LLN0$Measurement
37951,2551.606456,172.18.5.60,172.16.4.14,MMS,124,read,,TRUE,,33,confirmed-RequestPDU,SIED4PROT,LLN0$Protection
37961,2552.390268,172.18.5.60,172.16.4.12,MMS,125,read,,TRUE,,31,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
37962,2552.39027,172.18.5.60,172.16.4.13,MMS,125,read,,TRUE,,31,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
37964,2552.399816,172.18.5.60,172.16.4.12,MMS,124,read,,TRUE,,32,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
37965,2552.40156,172.18.5.60,172.16.4.13,MMS,124,read,,TRUE,,32,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
37966,2552.460931,172.18.5.60,172.16.4.11,MMS,125,read,,TRUE,,31,confirmed-RequestPDU,SIED1PROT,LLN0$Measurement
37967,2552.471741,172.18.5.60,172.16.4.11,MMS,124,read,,TRUE,,32,confirmed-RequestPDU,SIED1PROT,LLN0$Protection
37970,2552.616742,172.18.5.60,172.16.4.14,MMS,125,read,,TRUE,,34,confirmed-RequestPDU,SIED4PROT,LLN0$Measurement
37971,2552.628385,172.18.5.60,172.16.4.14,MMS,124,read,,TRUE,,35,confirmed-RequestPDU,SIED4PROT,LLN0$Protection
37979,2553.173992,172.18.5.60,172.16.4.12,MMS,134,read,,,,33,confirmed-RequestPDU,SIED2CTRL,LLN0$DC$NamPlt$configRev
37980,2553.173993,172.18.5.60,172.16.4.13,MMS,134,read,,,,33,confirmed-RequestPDU,SIED3CTRL,LLN0$DC$NamPlt$configRev
37981,2553.18282,172.18.5.60,172.16.4.13,MMS,132,read,,,,34,confirmed-RequestPDU,SIED3DR,LLN0$DC$NamPlt$configRev
37982,2553.184484,172.18.5.60,172.16.4.12,MMS,132,read,,,,34,confirmed-RequestPDU,SIED2DR,LLN0$DC$NamPlt$configRev
37983,2553.19374,172.18.5.60,172.16.4.13,MMS,134,read,,,,35,confirmed-RequestPDU,SIED3MEAS,LLN0$DC$NamPlt$configRev
37984,2553.193742,172.18.5.60,172.16.4.12,MMS,134,read,,,,35,confirmed-RequestPDU,SIED2MEAS,LLN0$DC$NamPlt$configRev
37985,2553.203371,172.18.5.60,172.16.4.13,MMS,134,read,,,,36,confirmed-RequestPDU,SIED3PROT,LLN0$DC$NamPlt$configRev
37986,2553.203373,172.18.5.60,172.16.4.12,MMS,134,read,,,,36,confirmed-RequestPDU,SIED2PROT,LLN0$DC$NamPlt$configRev
37988,2553.285689,172.18.5.60,172.16.4.11,MMS,134,read,,,,33,confirmed-RequestPDU,SIED1CTRL,LLN0$DC$NamPlt$configRev
37989,2553.296431,172.18.5.60,172.16.4.11,MMS,132,read,,,,34,confirmed-RequestPDU,SIED1DR,LLN0$DC$NamPlt$configRev
37991,2553.307509,172.18.5.60,172.16.4.11,MMS,134,read,,,,35,confirmed-RequestPDU,SIED1MEAS,LLN0$DC$NamPlt$configRev
37992,2553.318703,172.18.5.60,172.16.4.11,MMS,134,read,,,,36,confirmed-RequestPDU,SIED1PROT,LLN0$DC$NamPlt$configRev
37994,2553.408433,172.18.5.60,172.16.4.12,MMS,125,read,,TRUE,,37,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
37995,2553.408435,172.18.5.60,172.16.4.13,MMS,125,read,,TRUE,,37,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
37996,2553.417812,172.18.5.60,172.16.4.12,MMS,124,read,,TRUE,,38,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
37997,2553.419136,172.18.5.60,172.16.4.13,MMS,124,read,,TRUE,,38,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
37998,2553.440378,172.18.5.60,172.16.4.14,MMS,134,read,,,,36,confirmed-RequestPDU,SIED4CTRL,LLN0$DC$NamPlt$configRev
37999,2553.449391,172.18.5.60,172.16.4.14,MMS,132,read,,,,37,confirmed-RequestPDU,SIED4DR,LLN0$DC$NamPlt$configRev
38000,2553.480508,172.18.5.60,172.16.4.11,MMS,125,read,,TRUE,,37,confirmed-RequestPDU,SIED1PROT,LLN0$Measurement
38001,2553.491886,172.18.5.60,172.16.4.11,MMS,124,read,,TRUE,,38,confirmed-RequestPDU,SIED1PROT,LLN0$Protection
38004,2553.637493,172.18.5.60,172.16.4.14,MMS,125,read,,TRUE,,38,confirmed-RequestPDU,SIED4PROT,LLN0$Measurement
38005,2553.657845,172.18.5.60,172.16.4.14,MMS,124,read,,TRUE,,39,confirmed-RequestPDU,SIED4PROT,LLN0$Protection
38019,2554.431621,172.18.5.60,172.16.4.12,MMS,125,read,,TRUE,,39,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
38020,2554.431623,172.18.5.60,172.16.4.13,MMS,125,read,,TRUE,,39,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
38021,2554.442328,172.18.5.60,172.16.4.12,MMS,124,read,,TRUE,,40,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
38022,2554.44233,172.18.5.60,172.16.4.13,MMS,124,read,,TRUE,,40,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
38023,2554.492719,172.18.5.60,172.16.4.11,MMS,125,read,,TRUE,,39,confirmed-RequestPDU,SIED1PROT,LLN0$Measurement
38024,2554.512596,172.18.5.60,172.16.4.11,MMS,124,read,,TRUE,,40,confirmed-RequestPDU,SIED1PROT,LLN0$Protection
38028,2554.658433,172.18.5.60,172.16.4.14,MMS,125,read,,TRUE,,40,confirmed-RequestPDU,SIED4PROT,LLN0$Measurement
38029,2554.678062,172.18.5.60,172.16.4.14,MMS,124,read,,TRUE,,41,confirmed-RequestPDU,SIED4PROT,LLN0$Protection
38039,2555.454503,172.18.5.60,172.16.4.12,MMS,125,read,,TRUE,,41,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
38040,2555.454504,172.18.5.60,172.16.4.13,MMS,125,read,,TRUE,,41,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
38041,2555.464698,172.18.5.60,172.16.4.12,MMS,124,read,,TRUE,,42,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
38042,2555.4647,172.18.5.60,172.16.4.13,MMS,124,read,,TRUE,,42,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
38043,2555.507673,172.18.5.60,172.16.4.11,MMS,125,read,,TRUE,,41,confirmed-RequestPDU,SIED1PROT,LLN0$Measurement
38044,2555.528902,172.18.5.60,172.16.4.11,MMS,124,read,,TRUE,,42,confirmed-RequestPDU,SIED1PROT,LLN0$Protection
38047,2555.676155,172.18.5.60,172.16.4.14,MMS,125,read,,TRUE,,42,confirmed-RequestPDU,SIED4PROT,LLN0$Measurement
38048,2555.69813,172.18.5.60,172.16.4.14,MMS,124,read,,TRUE,,43,confirmed-RequestPDU,SIED4PROT,LLN0$Protection
38060,2556.47018,172.18.5.60,172.16.4.12,MMS,125,read,,TRUE,,43,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
38061,2556.470182,172.18.5.60,172.16.4.13,MMS,125,read,,TRUE,,43,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
38063,2556.480523,172.18.5.60,172.16.4.12,MMS,124,read,,TRUE,,44,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
38064,2556.482217,172.18.5.60,172.16.4.13,MMS,124,read,,TRUE,,44,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
38065,2556.523357,172.18.5.60,172.16.4.11,MMS,125,read,,TRUE,,43,confirmed-RequestPDU,SIED1PROT,LLN0$Measurement
38071,2556.696993,172.18.5.60,172.16.4.14,MMS,125,read,,TRUE,,44,confirmed-RequestPDU,SIED4PROT,LLN0$Measurement
38088,2557.497209,172.18.5.60,172.16.4.12,MMS,125,read,,TRUE,,45,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
38089,2557.49721,172.18.5.60,172.16.4.13,MMS,125,read,,TRUE,,45,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
60896,4130.213028,172.18.5.60,172.16.4.12,MMS,191,read,read,TRUE,TRUE,4074,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
60906,4130.455312,172.18.5.60,172.16.4.11,MMS,191,read,read,TRUE,TRUE,4079,confirmed-RequestPDU,SIED1PROT,LLN0$Protection
60907,4130.465396,172.18.5.60,172.16.4.13,MMS,191,read,read,TRUE,TRUE,4103,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
60909,4130.492467,172.18.5.60,172.16.4.14,MMS,191,read,read,TRUE,TRUE,4082,confirmed-RequestPDU,SIED4PROT,LLN0$Protection
